ticker,rev_yoy,net_margin,roe,fcf_positive
A,0.1001,0.1847,0.1904,1
AA,-0.0522,0.1331,0.249,0
AADX,,-0.5185,-1.3482,0
AAL,0.1084,-0.0275,,1
AAMI,0.3928,0.1455,1.2542,0
AAOI,0.5136,-0.0945,-0.0517,0
AAON,0.543,0.0801,0.1705,0
AAP,,,,0
AAPL,0.166,0.266,1.111,1
AAUC,0.1377,-0.148,-0.6972,0
AB,0.1148,0.9239,0.2703,1
ABBV,0.1243,0.0463,,1
ABCB,0.1053,0.3605,0.1083,1
ABEV,-0.0015,0.1677,0.1672,1
ABG,-0.0086,0.0457,0.191,1
ABM,0.0844,0.0188,0.0986,1
ABNB,0.1787,0.0597,0.0838,1
ABT,0.0778,0.0965,0.0827,1
ABVX,,,-0.4513,0
ACA,0.044,0.0661,0.057,1
ACAD,0.0972,0.0136,0.0117,1
ACGL,-0.047,0.2393,0.1731,1
ACHC,0.0757,0.005,0.0084,0
ACHR,,-136.0625,-0.4188,0
ACI,0.0773,-0.0237,-1.0474,1
ACIW,0.079,0.09,0.1021,1
ACLS,0.0332,0.0463,0.0353,1
ACM,0.0078,0.0473,0.3169,0
ACMR,0.3418,0.0748,0.0438,0
ACN,0.0559,0.125,0.2934,1
ACT,0.0169,0.5376,0.1256,1
AD,0.9275,3.4183,0.3826,1
ADBE,0.1269,0.2587,0.5945,1
ADC,0.1871,0.309,0.0398,1
ADEA,0.1951,0.2174,0.1952,1
ADI,0.3725,0.3246,0.1395,1
ADM,0.0156,0.0145,0.0523,0
ADP,0.0695,0.229,0.8566,1
ADPT,0.3514,-0.2827,-0.3704,0
ADSK,0.1843,0.2539,0.6159,1
ADT,0.0087,0.1317,0.1772,1
ADX,,,,0
AEE,0.0377,0.1641,0.1053,0
AEG,,,,0
AEHR,-0.4367,-0.3106,-0.0923,0
AEIS,0.263,0.1307,0.193,0
AEM,0.6609,0.4136,0.2581,1
AEO,0.097,0.0197,0.0572,0
AEP,0.102,0.1452,0.1099,0
AER,0.0793,0.365,0.1779,0
AERO,0.1326,0.0082,,1
AES,0.0868,0.1531,0.4407,0
AESI,-0.1076,-0.178,-0.1617,0
AFG,-0.0038,0.104,0.1633,1
AFL,0.2766,0.2312,0.136,1
AFRM,0.3264,0.0991,0.1088,1
AG,0.9551,0.3067,0.2038,1
AGCO,0.1426,0.0235,0.0512,0
AGI,0.7919,0.3208,0.1662,1
AGIO,1.3775,-4.7774,-0.1631,0
AGNC,-2.4615,,-0.0486,1
AGO,-0.2092,0.3424,0.0635,1
AGX,0.5024,0.1583,0.3891,1
AGYS,0.1168,0.1482,0.1505,1
AHR,0.2038,0.0364,0.0272,1
AIG,-0.0233,0.1153,0.0755,1
AIN,0.0781,0.0491,0.0838,0
AIP,0.3874,-0.347,-12.2871,0
AIR,0.2461,0.0805,0.1655,1
AIT,0.0726,0.0797,0.2146,1
AIZ,0.1126,0.0801,0.1868,1
AJG,0.2766,0.1728,0.1383,1
AKAM,0.0576,0.099,0.0866,1
AKR,-0.0134,0.2959,0.0535,1
ALAB,0.934,0.2604,0.215,1
ALB,0.3267,0.2233,0.1296,1
ALC,0.0942,0.0698,0.0342,1
ALGM,0.2612,-0.0678,-0.0691,1
ALGN,0.0621,0.1084,0.1087,1
ALGT,0.0477,0.058,0.155,1
ALH,0.0958,0.1333,0.5293,1
ALHC,0.3326,0.0092,0.2207,1
ALK,0.052,-0.0585,-0.2069,1
ALKS,0.2819,-0.1692,-0.1518,0
ALL,0.03,0.1467,0.3109,1
ALLE,0.0974,0.1336,0.2629,1
ALLY,0.3407,0.1356,0.0817,1
ALM,2.2119,-0.2072,-0.059,0
ALMS,-0.8999,-53.448,-0.6564,0
ALNY,0.9643,0.1765,0.7662,1
ALRM,0.1104,0.0889,0.1097,1
ALSN,0.8355,0.0797,0.2354,1
ALV,0.0679,0.0512,0.2141,0
AM,0.0862,0.3526,0.2443,1
AMAT,0.1141,0.3547,0.4694,1
AMBA,0.1687,-0.1803,-0.1195,0
AMBP,0.1861,-0.0033,,0
AMCR,0.7744,0.047,0.0954,0
AMD,0.3785,0.1349,0.0858,1
AME,0.1134,0.2071,0.1463,1
AMG,0.0973,0.2026,0.1429,1
AMGN,0.0576,0.2111,0.7917,1
AMH,0.0278,0.2781,0.0758,1
AMKR,0.2748,0.0495,0.0735,0
AMP,0.1052,0.1901,0.5892,1
AMPX,1.5289,-0.1768,-0.1845,0
AMR,-0.0131,-0.021,-0.0291,0
AMRX,0.039,0.0862,,0
AMRZ,0.0466,-0.0533,-0.0354,0
AMSC,0.2963,0.0524,0.0326,1
AMT,0.0682,0.314,0.976,1
AMTM,-0.0037,0.0155,0.0469,1
AMX,0.0207,0.0988,0.2146,0
AMZN,0.1661,0.1667,0.2739,0
AN,-0.0207,0.0313,0.3689,0
ANDE,-0.012,0.0126,0.1046,0
ANDG,0.1571,0.0021,,0
ANET,0.3513,0.3776,0.3034,1
ANF,0.015,0.0603,0.2004,0
AON,0.0645,0.2408,0.493,1
AOS,-0.019,0.1248,0.2513,1
APA,-0.1172,0.1917,0.2763,1
APAM,0.0933,0.1915,0.5968,1
APD,0.0876,0.224,0.1816,0
APG,0.153,0.0288,0.0654,1
APGE,,,-0.2361,0
APH,0.5839,0.1224,0.267,1
APLD,1.3929,-0.7842,-0.2512,0
APLE,0.0306,0.082,0.0354,1
APO,-0.0898,-0.3769,-0.3821,1
APP,0.5897,0.6544,2.0404,1
APPF,0.2045,0.1618,0.3609,1
APTV,0.0541,0.0372,0.0819,0
AQN,0.1444,0.1088,0.074,0
AR,0.3375,0.2873,0.2655,1
ARCB,0.0328,-0.001,-0.0032,0
ARCC,-0.4899,0.6093,0.0262,1
ARE,-0.1213,0.5538,0.0919,1
ARES,0.2825,0.1021,0.1417,1
ARGX,0.643,0.282,,0
ARIS,1.3645,0.2621,0.2484,1
ARLP,-0.0452,0.0176,,1
ARM,0.2006,0.2101,0.1511,1
ARMK,0.1468,0.0208,0.1243,1
AROC,0.0766,0.1974,0.1945,1
ARQT,0.6007,-0.1072,-0.2382,1
ARR,-2.7411,,-0.0939,1
ARW,0.3903,0.0248,0.1395,1
ARWR,-0.8641,-1.8001,-0.8647,1
ARX,0.5876,-0.0186,-0.03,0
ARXS,,0.1162,0.067,1
AS,0.3212,0.0846,0.0976,1
ASB,0.1146,0.3137,0.0957,1
ASH,0.0063,0.0332,0.0343,1
ASML,0.1325,0.3144,0.5294,0
ASND,1.4427,2.5521,5.1588,0
ASO,0.067,0.0365,0.0994,1
ASR,0.008,0.3176,0.2654,1
ASTS,19.5223,-12.9631,-0.3674,0
ASX,0.1722,0.0815,0.1614,0
ATAT,0.4751,0.1648,0.502,1
ATEN,0.134,0.1604,0.2179,0
ATHM,-0.2788,0.0894,0.0164,0
ATI,0.0062,0.1026,0.267,1
ATKR,0.0423,-0.1696,-0.3875,1
ATMU,0.1481,0.1014,0.4798,1
ATO,0.0061,0.2965,0.1561,0
ATR,0.1077,0.0739,0.1106,1
ATRO,0.1199,0.1107,0.6318,0
ATROB,0.1199,0.1107,0.6318,0
ATS,0.301,-0.0216,-0.0362,1
AU,0.6485,0.3959,0.6004,1
AUB,0.7178,0.3353,0.0967,1
AUGO,1.2307,0.2487,1.261,1
AUPH,0.244,0.4421,0.2421,1
AUR,,-223.0,-0.4542,0
AVA,-0.0762,0.1614,0.1326,1
AVAL,0.1263,0.0695,0.0756,0
AVAV,1.3327,-0.0376,-0.0219,1
AVB,0.0327,0.4229,0.1134,1
AVGO,0.4787,0.4196,0.4247,1
AVNT,0.0252,0.0657,0.0926,0
AVPT,0.2598,0.1301,0.139,1
AVT,0.3395,0.0132,0.0762,0
AVTR,0.0,0.0274,0.031,1
AVY,0.0699,0.0731,0.2923,1
AWI,0.0711,0.163,0.2992,1
AWK,0.0569,0.1624,0.071,0
AWR,0.1431,0.177,0.1126,1
AX,0.2726,0.3216,0.1627,0
AXGN,0.2656,-0.3187,-0.32,0
AXIA,0.2206,0.2069,0.0868,1
AXON,0.3375,0.2097,0.1916,0
AXP,0.1144,0.1571,0.3496,1
AXS,0.1452,0.1516,0.1597,1
AXSM,0.5742,-0.3376,-4.7295,0
AXTA,-0.0063,0.0718,0.1487,1
AXTI,0.391,-0.0602,-0.0236,0
