ticker,quarter_end,revenue,gross_profit,operating_income,net_income,ebitda,cost_of_revenue,operating_cash_flow,free_cash_flow,capex,total_debt,total_equity,total_assets,cash,current_assets,current_liabilities
A,2025-01-31,,,,,,,,,,,,,,,
A,2025-04-30,1668000000.0,866000000.0,300000000.0,215000000.0,362000000.0,802000000.0,221000000.0,107000000.0,-114000000.0,3495000000.0,6136000000.0,12158000000.0,1486000000.0,4208000000.0,2012000000.0
A,2025-07-31,1738000000.0,888000000.0,360000000.0,336000000.0,466000000.0,850000000.0,362000000.0,259000000.0,-103000000.0,3409000000.0,6370000000.0,12226000000.0,1535000000.0,4253000000.0,1892000000.0
A,2025-10-31,1861000000.0,990000000.0,443000000.0,434000000.0,540000000.0,871000000.0,545000000.0,452000000.0,-93000000.0,3354000000.0,6741000000.0,12727000000.0,1789000000.0,4594000000.0,2347000000.0
A,2026-01-31,1798000000.0,946000000.0,353000000.0,305000000.0,456000000.0,852000000.0,268000000.0,175000000.0,-93000000.0,3354000000.0,6908000000.0,12813000000.0,1758000000.0,4615000000.0,2234000000.0
A,2026-04-30,1835000000.0,990000000.0,399000000.0,339000000.0,500000000.0,845000000.0,277000000.0,201000000.0,-76000000.0,3355000000.0,7122000000.0,13065000000.0,1807000000.0,4763000000.0,2269000000.0
AA,2024-12-31,,,,,,,,,,,,,,,
AA,2025-03-31,3369000000.0,931000000.0,700000000.0,548000000.0,869000000.0,2438000000.0,75000000.0,-18000000.0,-93000000.0,2648000000.0,5815000000.0,14574000000.0,1202000000.0,5207000000.0,3039000000.0
AA,2025-06-30,3018000000.0,366000000.0,119000000.0,164000000.0,370000000.0,2652000000.0,488000000.0,357000000.0,-131000000.0,2649000000.0,6135000000.0,14990000000.0,1514000000.0,5399000000.0,3272000000.0
AA,2025-09-30,2995000000.0,300000000.0,51000000.0,232000000.0,360000000.0,2695000000.0,85000000.0,-66000000.0,-151000000.0,2578000000.0,6345000000.0,15969000000.0,1485000000.0,5284000000.0,3386000000.0
AA,2025-12-31,3449000000.0,576000000.0,-112000000.0,213000000.0,246000000.0,2873000000.0,537000000.0,294000000.0,-243000000.0,2698000000.0,6118000000.0,16129000000.0,1597000000.0,5469000000.0,3801000000.0
AA,2026-03-31,3193000000.0,681000000.0,426000000.0,425000000.0,696000000.0,2512000000.0,-179000000.0,-298000000.0,-119000000.0,2442000000.0,6826000000.0,16640000000.0,1353000000.0,5678000000.0,3826000000.0
AADX,2025-03-31,111024000.0,30884000.0,11979000.0,-7313000.0,21702000.0,80140000.0,-6911000.0,-11821000.0,-4910000.0,,,,,,
AADX,2026-03-31,151983000.0,36540000.0,-57035000.0,-78798000.0,-44926000.0,115443000.0,-72031000.0,-79167000.0,-7136000.0,1040992000.0,233788000.0,1483919000.0,15923000.0,334742000.0,160256000.0
AAL,2024-12-31,,,,,,,,,,,,,,,
AAL,2025-03-31,12551000000.0,1878000000.0,-200000000.0,-473000000.0,-220000000.0,10673000000.0,2456000000.0,1632000000.0,-824000000.0,36600000000.0,-4508000000.0,62609000000.0,835000000.0,13603000000.0,26112000000.0
