ticker,shares,asof
A,282431944.0,2026-08-16
AA,263909445.0,2026-08-16
AAL,661969951.0,2026-08-16
AAMI,35490128.0,2026-08-16
AAOI,84569237.0,2026-08-16
AAON,82453639.0,2026-08-16
AAP,60329208.0,2026-08-16
AAPG,93337216.0,2026-08-16
AAPL,14594180000.0,2026-08-16
AAT,61404213.0,2026-08-16
AAUC,139347893.0,2026-08-16
AB,93175219.0,2026-08-16
ABBV,1767117285.0,2026-08-16
ABCB,67107239.0,2026-08-16
ABCL,306611466.0,2026-08-16
ABEV,15419998554.0,2026-08-16
ABG,17951917.0,2026-08-16
ABM,58580923.0,2026-08-16
ABNB,598785682.0,2026-08-16
ABSI,171614010.0,2026-08-16
ABT,1730383296.0,2026-08-16
ABVX,87160669.0,2026-08-16
ACA,49106809.0,2026-08-16
ACAD,172305518.0,2026-08-16
ACDC,182122762.0,2026-08-16
ACEL,81193475.0,2026-08-16
ACGL,341229126.0,2026-08-16
ACHC,93100275.0,2026-08-16
ACI,485325683.0,2026-08-16
ACLS,30881489.0,2026-08-16
ACM,128696425.0,2026-08-16
ACN,611942109.0,2026-08-16
ACT,137483671.0,2026-08-16
ACVA,169807980.0,2026-08-16
AD,86478954.0,2026-08-16
ADBE,397500000.0,2026-08-16
ADC,124379310.0,2026-08-16
ADEA,110280150.0,2026-08-16
ADI,487087040.0,2026-08-16
ADM,481959583.0,2026-08-16
ADMA,223984680.0,2026-08-16
ADNT,77096932.0,2026-08-16
ADP,397262737.0,2026-08-16
ADPT,159059622.0,2026-08-16
ADSK,211145251.0,2026-08-16
ADT,730559248.0,2026-08-16
ADTN,81481407.0,2026-08-16
ADUS,18674300.0,2026-08-16
ADX,124927128.0,2026-08-16
AEE,276843251.0,2026-08-16
AEG,1478615900.0,2026-08-16
AEIS,40050442.0,2026-08-16
AEM,506364864.0,2026-08-16
AEO,167573333.0,2026-08-16
AEP,544397352.0,2026-08-16
AER,157184065.0,2026-08-16
AERO,145903409.0,2026-08-16
AES,713438630.0,2026-08-16
AESI,124905584.0,2026-08-16
AEVA,69705758.0,2026-08-16
AFG,82921466.0,2026-08-16
AFL,501343298.0,2026-08-16
AFRM,334898565.0,2026-08-16
AFYA,91452623.0,2026-08-16
AG,492906383.0,2026-08-16
AGBK,159930070.0,2026-08-16
AGCO,70031729.0,2026-08-16
AGI,418604465.0,2026-08-16
AGIO,59701882.0,2026-08-16
AGL,16791210.0,2026-08-16
AGM,10853210.0,2026-08-16
AGNC,1185481447.0,2026-08-16
AGO,43979208.0,2026-08-16
AGRO,144308466.0,2026-08-16
AGX,14019247.0,2026-08-16
AGYS,28205788.0,2026-08-16
AHCO,133409161.0,2026-08-16
AHG,856704177.0,2026-08-16
AHR,206722308.0,2026-08-16
AI,155449277.0,2026-08-16
AIAI,70313990.0,2026-08-16
AIG,522893169.0,2026-08-16
AIN,28371147.0,2026-08-16
AIP,49152102.0,2026-08-16
AIR,40258840.0,2026-08-16
AIT,36698856.0,2026-08-16
AIZ,49323767.0,2026-08-16
AJG,256341000.0,2026-08-16
AKAM,143716609.0,2026-08-16
AKR,137332722.0,2026-08-16
AKTS,55619499.0,2026-08-16
ALAB,173485104.0,2026-08-16
ALB,118005057.0,2026-08-16
ALC,483400000.0,2026-08-16
ALG,12170965.0,2026-08-16
ALGM,186402046.0,2026-08-16
ALGN,71039852.0,2026-08-16
ALGT,27337755.0,2026-08-16
ALH,198769096.0,2026-08-16
ALHC,207435149.0,2026-08-16
ALK,111603120.0,2026-08-16
ALKS,167763272.0,2026-08-16
ALKT,106941980.0,2026-08-16
ALL,252857950.0,2026-08-16
ALL/PH,1505162644.0,2026-08-16
ALLE,85036786.0,2026-08-16
ALLY,304199693.0,2026-08-16
ALM,288480750.0,2026-08-16
ALMS,129435239.0,2026-08-16
ALNT,16996512.0,2026-08-16
ALNY,133809118.0,2026-08-16
ALOY,68987642.0,2026-08-16
ALRM,49090228.0,2026-08-16
ALSN,82578038.0,2026-08-16
ALTB,996100000.0,2026-08-16
ALV,73237217.0,2026-08-16
ALVO,338219831.0,2026-08-16
ALX,5107290.0,2026-08-16
AM,474674000.0,2026-08-16
AMAL,29900147.0,2026-08-16
AMAT,793959430.0,2026-08-16
AMBA,43868185.0,2026-08-16
AMBP,597706314.0,2026-08-16
AMBQ,24184536.0,2026-08-16
AMC,892604638.0,2026-08-16
AMD,1632475042.0,2026-08-16
AME,229261244.0,2026-08-16
AMG,26412085.0,2026-08-16
AMGN,541000000.0,2026-08-16
AMH,359815019.0,2026-08-16
AMLX,111423048.0,2026-08-16
AMN,38729991.0,2026-08-16
AMP,88333219.0,2026-08-16
AMPX,146080618.0,2026-08-16
AMR,12679045.0,2026-08-16
AMRC,53066211.0,2026-08-16
AMRX,348296027.0,2026-08-16
AMRZ,546925644.0,2026-08-16
AMSC,48442143.0,2026-08-16
AMT,465960048.0,2026-08-16
AMTD,94910009.0,2026-08-16
AMTM,244319846.0,2026-08-16
AMX,2999650000.0,2026-08-16
AMZN,10786313572.0,2026-08-16
AN,33060806.0,2026-08-16
ANAB,29608481.0,2026-08-16
ANDE,33975570.0,2026-08-16
ANDG,112485744.0,2026-08-16
ANET,1261224648.0,2026-08-16
ANF,44431710.0,2026-08-16
ANIP,22970352.0,2026-08-16
AOD,105446496.0,2026-08-16
AON,212125434.0,2026-08-16
AOS,135908573.0,2026-08-16
AOSL,29929578.0,2026-08-16
APA,350351510.0,2026-08-16
APAM,70996433.0,2026-08-16
APD,222685530.0,2026-08-16
APG,432160297.0,2026-08-16
APGE,75687735.0,2026-08-16
APH,1232983457.0,2026-08-16
APLD,287883603.0,2026-08-16
APLE,236082698.0,2026-08-16
APO,590543159.0,2026-08-16
APP,335939521.0,2026-08-16
APPF,35416992.0,2026-08-16
APPN,71627597.0,2026-08-16
APPS,121016250.0,2026-08-16
APTV,207633331.0,2026-08-16
AQN,769901895.0,2026-08-16
AR,307439000.0,2026-08-16
ARCB,22351354.0,2026-08-16
ARCC,718022845.0,2026-08-16
ARCO,210663057.0,2026-08-16
ARDT,141045907.0,2026-08-16
ARDX,258187572.0,2026-08-16
ARE,172095277.0,2026-08-16
ARES,225518332.0,2026-08-16
ARGX,62187771.0,2026-08-16
ARI,128212093.0,2026-08-16
ARIS,206430693.0,2026-08-16
ARLO,107613304.0,2026-08-16
ARLP,128658801.0,2026-08-16
