ticker,sector,industry,market_cap
A,Health technology,Medical specialties,35724816221
AA,Non-energy minerals,Aluminum,15397973049
AADX,Electronic technology,Aerospace & defense,3110946726
AAL,Transportation,Airlines,10635072869
AAMI,Finance,Investment managers,2632626061
AAOI,Electronic technology,Semiconductors,13739968707
AAON,Producer manufacturing,Industrial machinery,11153099094
AAP,Retail trade,Specialty stores,3341825847
AAPG,Health technology,Pharmaceuticals: major,1489445748
AAPL,Electronic technology,Telecommunications equipment,4362291881253
AAT,Finance,Real estate investment trusts,1488116318
AAUC,Non-energy minerals,Precious metals,3249479120
AB,Finance,Investment managers,3362398517
ABBV,Health technology,Pharmaceuticals: major,406380012960
ABCB,Finance,Regional banks,5878673134
ABCL,Health technology,Biotechnology,1752854707
ABEV,Consumer non-durables,Beverages: alcoholic,49309399317
ABG,Retail trade,Specialty stores,3653008722
ABM,Commercial services,Miscellaneous commercial services,2569359238
ABNB,Consumer services,Hotels/Resorts/Cruise lines,83890495987
ABSI,Health technology,Biotechnology,1309602443
ABT,Health technology,Medical specialties,152983384343
ABVX,Health technology,Pharmaceuticals: other,7822622061
ACA,Non-energy minerals,Construction materials,7114062709
ACAD,Health technology,Pharmaceuticals: major,3782600402
ACDC,Industrial services,Oilfield services/Equipment,1105425781
ACEL,Consumer services,Movies/Entertainment,1041015169
ACGL,Finance,Multi-line insurance,32157817944
ACGLN,Finance,Multi-line insurance,32157817944
ACGLO,Finance,Multi-line insurance,32157817944
ACHC,Health services,Medical/Nursing services,2318488635
ACI,Retail trade,Food retail,6735564615
ACLS,Producer manufacturing,Industrial machinery,5652578143
ACM,Industrial services,Engineering & construction,8721565342
ACN,Technology services,Information technology services,76388738291
ACT,Finance,Multi-line insurance,5963744372
ACVA,Technology services,Internet software/Services,1112105695
AD,Communications,Wireless telecommunications,3351398118
ADBE,Technology services,Packaged software,77472747574
ADC,Finance,Real estate investment trusts,8814348785
ADC/PA,Finance,Real estate investment trusts,8814348785
ADEA,Technology services,Packaged software,3508444032
ADI,Electronic technology,Semiconductors,216987538208
ADM,Process industries,Agricultural commodities/Milling,36768465104
ADMA,Health technology,Biotechnology,1986292142
ADNT,Producer manufacturing,Auto parts: OEM,1614531734
ADP,Technology services,Packaged software,85782979668
ADPT,Health technology,Biotechnology,2779971151
ADSK,Technology services,Packaged software,39608920258
ADT,Commercial services,Miscellaneous commercial services,4843319486
ADTN,Electronic technology,Computer peripherals,1261950395
ADUS,Health services,Medical/Nursing services,1773713625
ADX,Miscellaneous,Investment trusts,3033425000
AEE,Utilities,Electric utilities,30359651588
AEG,Finance,Multi-line insurance,12890382049
AEIS,Electronic technology,Electronic production equipment,14764641572
AEM,Non-energy minerals,Precious metals,85006250575
AEO,Retail trade,Apparel/Footwear retail,2981129761
AEP,Utilities,Electric utilities,70896888567
AER,Finance,Finance/Rental/Leasing,23156056298
AERO,Transportation,Airlines,2537260243
AES,Utilities,Electric utilities,10447760250
AESI,Industrial services,Oilfield services/Equipment,2058444003
AEVA,Electronic technology,Semiconductors,1593041577
AFG,Finance,Property/Casualty insurance,11160123203
AFL,Finance,Multi-line insurance,59322190926
AFRM,Technology services,Packaged software,24179676642
AFYA,Consumer services,Other consumer services,1276121076
AG,Non-energy minerals,Precious metals,8749596767
AGBK,Finance,Regional banks,1109914690
AGCO,Producer manufacturing,Trucks/Construction/Farm machinery,8248778871
AGI,Non-energy minerals,Precious metals,13455691556
AGIO,Health technology,Pharmaceuticals: major,2087453456
AGL,Health services,Medical/Nursing services,1887102873
AGM,Finance,Finance/Rental/Leasing,1942256120
AGM.A,Finance,Finance/Rental/Leasing,1942256120
AGM/PD,Finance,Finance/Rental/Leasing,1942256120
AGM/PE,Finance,Finance/Rental/Leasing,1942256120
AGM/PF,Finance,Finance/Rental/Leasing,1942256120
AGM/PG,Finance,Finance/Rental/Leasing,1942256120
AGM/PH,Finance,Finance/Rental/Leasing,1942256120
AGM/PI,Finance,Finance/Rental/Leasing,1942256120
AGNC,Finance,Real estate investment trusts,11915505219
AGNCL,Finance,Real estate investment trusts,11915505219
AGNCM,Finance,Real estate investment trusts,11915505219
AGNCN,Finance,Real estate investment trusts,11915505219
AGNCO,Finance,Real estate investment trusts,11915505219
AGNCP,Finance,Real estate investment trusts,11915505219
AGNCZ,Finance,Real estate investment trusts,11915505219
AGO,Finance,Specialty insurance,3393365024
AGRO,Process industries,Agricultural commodities/Milling,1320422461
AGX,Industrial services,Engineering & construction,11075205173
AGYS,Technology services,Packaged software,2378390288
AHCO,Health services,Medical/Nursing services,1314283101
AHG,Retail trade,Internet retail,1147983625
AHR,Finance,Real estate investment trusts,9840345689
AI,Technology services,Packaged software,1375374897
AIAI,Technology services,Packaged software,1314409167
AIG,Finance,Multi-line insurance,40491851837
AIN,Process industries,Textiles,2044515912
AIP,Electronic technology,Semiconductors,2054653191
AIR,Electronic technology,Aerospace & defense,5339546232
AIT,Distribution services,Wholesale distributors,12494911115
AIZ,Finance,Property/Casualty insurance,12960670466
AJG,Finance,Insurance brokers/Services,53712651194
AKAM,Technology services,Data processing services,17553839197
AKO.A,Consumer non-durables,Beverages: non-alcoholic,4194230012
AKO.B,Consumer non-durables,Beverages: non-alcoholic,4194230012
AKR,Finance,Real estate investment trusts,2837239132
AKTS,Health technology,Pharmaceuticals: major,1370327945
ALAB,Electronic technology,Semiconductors,75361217166
ALB,Process industries,Chemicals: specialty,18479180065
ALB/PA,Process industries,Chemicals: specialty,18479180065
ALC,Health technology,Medical specialties,32570446041
ALG,Producer manufacturing,Trucks/Construction/Farm machinery,1959711611
ALGM,Electronic technology,Semiconductors,11467576478
ALGN,Health technology,Medical specialties,12444365166
ALGT,Transportation,Airlines,2746156695
ALH,Producer manufacturing,Industrial machinery,5251213019
ALHC,Health services,Managed health care,4401363338
ALK,Transportation,Airlines,5437734040
ALKS,Health technology,Pharmaceuticals: major,7670420933
ALKT,Technology services,Packaged software,1561409746
ALL,Finance,Multi-line insurance,57291601320
ALL/PB,Finance,Multi-line insurance,57291601320
ALL/PH,Finance,Multi-line insurance,57291601320
ALL/PI,Finance,Multi-line insurance,57291601320
ALL/PJ,Finance,Multi-line insurance,57291601320
ALLE,Consumer durables,Tools & hardware,11251581479
ALLY,Finance,Finance/Rental/Leasing,13968256265
ALM,Non-energy minerals,Other metals/Minerals,5294622786
ALMS,Health technology,Pharmaceuticals: major,3136302655
ALNT,Producer manufacturing,Electrical products,1678915381
ALNY,Health technology,Pharmaceuticals: major,38239336591
ALOY,Non-energy minerals,Other metals/Minerals,1205905941
ALRM,Technology services,Packaged software,2161427503
ALSN,Producer manufacturing,Auto parts: OEM,10045206337
ALTB,Retail trade,Specialty stores,8964899780
ALV,Producer manufacturing,Auto parts: OEM,8859326748
ALVO,Health technology,Biotechnology,1222092502
ALX,Finance,Real estate investment trusts,1337548323
AM,Industrial services,Oil & gas pipelines,10378313421
AMAL,Finance,Regional banks,1321630136
AMAT,Producer manufacturing,Industrial machinery,508276930316
AMBA,Electronic technology,Semiconductors,3101919189
AMBP,Process industries,Containers/Packaging,2689678345
AMBQ,Electronic technology,Semiconductors,1893036669
AMC,Consumer services,Movies/Entertainment,1689311698
AMD,Electronic technology,Semiconductors,899488209183
AME,Producer manufacturing,Electrical products,55363986057
AMG,Finance,Investment managers,9437302558
AMGN,Health technology,Biotechnology,186048229272
AMH,Finance,Real estate investment trusts,11384546590
AMH/PG,Finance,Real estate investment trusts,11384546590
AMH/PH,Finance,Real estate investment trusts,11384546590
AMLX,Health technology,Pharmaceuticals: major,1810113324
AMN,Commercial services,Personnel services,1176768728
AMP,Finance,Investment managers,42378386158
AMPX,Producer manufacturing,Electrical products,2216465106
AMR,Energy minerals,Coal,2226203540
AMRC,Industrial services,Engineering & construction,1532414118
AMRX,Health technology,Pharmaceuticals: major,5139456957
AMRZ,Non-energy minerals,Construction materials,29648756660
AMSC,Producer manufacturing,Electrical products,2196554101
AMT,Finance,Real estate investment trusts,82197510294
AMTD,Finance,Investment banks/Brokers,1489932442
AMTM,Electronic technology,Aerospace & defense,5145301457
AMX,Communications,Wireless telecommunications,79811657419
AMZN,Retail trade,Internet retail,2504147419184
AN,Retail trade,Specialty stores,6300799506
ANAB,Health technology,Biotechnology,1745763193
ANDE,Commercial services,Miscellaneous commercial services,2413070306
ANDG,Consumer services,Other consumer services,4057660511
ANET,Electronic technology,Computer peripherals,219806409191
ANF,Retail trade,Apparel/Footwear retail,3824237205
ANIP,Health technology,Biotechnology,1832830919
AOD,Miscellaneous,Investment trusts,1095583940
AON,Finance,Insurance brokers/Services,66984139894
AOS,Producer manufacturing,Building products,8089162008
AOSL,Electronic technology,Semiconductors,1477324027
APA,Energy minerals,Integrated oil,12088681617
APAM,Finance,Investment managers,2916458190
APD,Process industries,Chemicals: specialty,63043128181
APG,Industrial services,Engineering & construction,18704613170
APGE,Health technology,Biotechnology,9992861866
APH,Electronic technology,Electronic components,204169725392
APLD,Technology services,Data processing services,12916783031
APLE,Finance,Real estate investment trusts,3921082160
APO,Finance,Investment managers,77950937356
APO/PA,Finance,Investment managers,77950937356
APP,Technology services,Packaged software,157686879000
APPF,Technology services,Information technology services,5105119276
APPN,Technology services,Packaged software,1458712770
APPS,Technology services,Packaged software,1116123311
APTV,Producer manufacturing,Electrical products,13452716975
AQN,Utilities,Electric utilities,4510159494
AR,Energy minerals,Oil & gas production,10543718652
ARCB,Transportation,Trucking,3241606312
ARCC,Finance,Financial conglomerates,12809528435
ARCO,Consumer services,Restaurants,1729338146
ARDT,Health services,Hospital/Nursing management,1294450791
ARDX,Health technology,Pharmaceuticals: major,1573577176
ARE,Finance,Real estate investment trusts,8840690918
ARES,Finance,Investment managers,27953379314
ARES/PB,Finance,Investment managers,27953379314
ARGX,Health technology,Biotechnology,56291434757
ARI,Finance,Real estate investment trusts,1407682941
ARIS,Non-energy minerals,Precious metals,3393215821
ARLO,Electronic technology,Telecommunications equipment,1435821816
ARLP,Energy minerals,Coal,3140561244
ARM,Electronic technology,Semiconductors,433814081299
ARMK,Consumer services,Restaurants,14081162522
AROC,Industrial services,Oilfield services/Equipment,6673961922
ARQT,Health technology,Pharmaceuticals: major,3334722732
ARR,Finance,Real estate investment trusts,2052963186
ARR/PC,Finance,Real estate investment trusts,2052963186
ARRY,Producer manufacturing,Electrical products,1313677196
ARW,Distribution services,Electronics distributors,12007784507
ARX,Finance,Property/Casualty insurance,2812615352
ARXS,Electronic technology,Aerospace & defense,18900018565
AS,Consumer durables,Recreational products,20881394673
ASA,Miscellaneous,Investment trusts,1102897212
ASAN,Technology services,Packaged software,1555941308
ASB,Finance,Major banks,4875364653
ASB/PE,Finance,Major banks,4875364653
ASB/PF,Finance,Major banks,4875364653
ASH,Consumer non-durables,Food: specialty/candy,3099374733
ASIC,Finance,Property/Casualty insurance,1029820122
ASM,Non-energy minerals,Precious metals,1092689135
ASML,Electronic technology,Semiconductors,722784791454
ASND,Health technology,Pharmaceuticals: major,14221920959
ASO,Retail trade,Specialty stores,3217513184
ASR,Transportation,Other transportation,9007655683
ASST,Miscellaneous,Investment trusts,1181337567
ASTE,Producer manufacturing,Trucks/Construction/Farm machinery,1329663835
ASTH,Health services,Services to the health industry,1963007597
ASTS,Communications,Specialty telecommunications,28406837304
ASX,Electronic technology,Semiconductors,93401846979
ATAI,Health technology,Pharmaceuticals: major,1491075153
ATAT,Consumer services,Hotels/Resorts/Cruise lines,4372611921
ATEC,Health technology,Medical specialties,1314898601
ATEN,Technology services,Information technology services,2431378198
ATEX,Communications,Wireless telecommunications,1442807061
ATHM,Technology services,Internet software/Services,2228603307
ATI,Non-energy minerals,Other metals/Minerals,27852249245
ATLC,Finance,Finance/Rental/Leasing,1504543028
ATLCP,Finance,Finance/Rental/Leasing,1504543028
ATLCZ,Finance,Finance/Rental/Leasing,1504543028
ATO,Utilities,Gas distributors,28307933412
ATR,Process industries,Containers/Packaging,7658437958
ATRC,Health technology,Medical specialties,1440229166
ATRO,Electronic technology,Aerospace & defense,2991954463
ATROB,Electronic technology,Aerospace & defense,2991954463
ATS,Producer manufacturing,Industrial machinery,2734231946
AU,Non-energy minerals,Precious metals,43546796419
AUB,Finance,Regional banks,5670242965
AUB/PA,Finance,Regional banks,5670242965
AUGO,Non-energy minerals,Other metals/Minerals,5468085351
AUPH,Health technology,Biotechnology,2254387350
AUR,Technology services,Packaged software,12865492057
AVA,Utilities,Electric utilities,3281571890
AVAH,Health services,Medical/Nursing services,1724621225
AVAL,Finance,Major banks,6165309283
AVAV,Electronic technology,Aerospace & defense,7556510871
AVB,Finance,Real estate investment trusts,25521363897
AVBP,Health technology,Pharmaceuticals: other,1523000190
AVEX,Electronic technology,Aerospace & defense,1993448846
AVGO,Electronic technology,Semiconductors,1865589899265
AVLN,Health technology,Pharmaceuticals: major,1461662214
AVNS,Health technology,Medical specialties,1166510612
AVNT,Process industries,Chemicals: major diversified,3418954910
AVO,Process industries,Agricultural commodities/Milling,1005962566
AVPT,Technology services,Packaged software,2113811507
AVT,Distribution services,Electronics distributors,7583125795
AVY,Process industries,Pulp & paper,12045704610
AWI,Producer manufacturing,Miscellaneous manufacturing,6693748611
AWK,Utilities,Water utilities,24394441898
AWR,Utilities,Water utilities,3043701626
AX,Finance,Major banks,5035427781
AXGN,Health technology,Medical specialties,2390343316
AXIA,Utilities,Electric utilities,23359580167
AXIA/PC,Utilities,Electric utilities,23359580167
AXON,Electronic technology,Aerospace & defense,33049271297
AXP,Finance,Finance/Rental/Leasing,230674096460
AXS,Finance,Multi-line insurance,7622245334
AXS/PE,Finance,Multi-line insurance,7622245334
AXSM,Health technology,Biotechnology,12754303413
AXTA,Process industries,Industrial specialties,7347264708
AXTI,Electronic technology,Electronic production equipment,6047719589
AYA,Non-energy minerals,Precious metals,2829724030
AYI,Producer manufacturing,Electrical products,9751480620
AZN,Health technology,Pharmaceuticals: major,273618623849
AZO,Retail trade,Specialty stores,48144453935
AZTA,Health services,Medical/Nursing services,1026486765
AZUL,Transportation,Airlines,1626003787
AZZ,Process industries,Industrial specialties,4749829611
